UserId,MovieId,Value
1,8,2
1,12,1
1,20,1.5
1,38,3
1,41,3.5
1,43,2.5
1,50,2.5
1,56,4.5
1,62,4.5
1,66,3
1,68,3
1,75,2.5
1,96,2.5
1,100,5
2,2,2
2,6,2
2,16,1
2,24,4.5
2,70,2.5
2,78,1
2,79,4.5
2,84,4
3,6,1.5
3,13,5
3,14,2.5
3,19,5
3,24,1.5
3,43,2
3,45,2.5
3,52,3
3,53,3.5
3,59,1
3,64,3
3,65,1.5
3,70,3.5
3,79,2.5
3,92,3
4,2,4.5
4,13,2
4,24,5
4,34,3.5
4,46,5
4,51,2
4,60,3
4,66,3
4,68,4.5
4,83,3.5
4,86,5
4,87,2
4,88,4
4,89,5
4,99,1
5,6,2
5,11,2
5,44,4
5,62,3.5
5,73,5
5,88,5
5,99,4
6,8,5
6,31,5
6,33,1.5
6,37,1
6,49,2
6,57,3.5
6,89,4
6,97,3
7,21,5
7,35,4.5
7,36,1.5
7,41,5
7,62,3
7,85,2
7,94,5
7,96,2
8,1,5
8,14,3
8,31,2
8,33,4
8,37,2
8,51,1
8,52,5
8,72,3
8,77,4.5
8,80,5
8,84,1.5
8,87,3.5
8,90,2.5
8,95,3
9,1,1.5
9,8,1.5
9,20,3.5
9,21,3
9,27,5
9,29,2.5
9,58,4
9,59,4.5
9,62,3
9,68,2.5
9,79,1
9,85,2.5
10,1,1.5
10,6,1
10,7,2.5
10,8,3
10,15,2.5
10,56,4
10,71,4
10,82,5
10,96,1.5
11,7,2.5
11,30,3.5
11,35,1
11,59,1.5
11,71,4.5
11,72,1.5
11,78,2
11,79,4.5
11,92,3.5
12,2,4
12,6,2.5
12,17,2.5
12,24,4.5
12,28,5
12,30,2.5
12,32,1.5
12,33,4
12,47,1.5
12,53,4
12,58,1.5
12,87,3.5
12,97,3.5
13,1,1
13,9,2
13,31,4.5
13,38,5
13,41,5
13,57,1
13,85,3.5
13,94,5
14,2,1.5
14,6,5
14,15,3
14,16,1.5
14,28,1.5
14,32,1
14,40,4
14,47,2
14,51,5
14,52,2.5
14,68,2
14,70,2.5
14,77,1
14,94,3.5
14,99,5
15,1,2
15,4,2
15,7,3.5
15,34,1
15,52,3.5
15,65,1.5
15,74,2.5
15,88,2
15,98,3
16,45,4
16,49,4.5
16,57,2.5
16,67,2.5
16,73,5
16,76,3
16,77,3
16,95,2.5
17,12,3
17,19,1.5
17,25,4.5
17,32,2.5
17,36,3
17,39,4.5
17,52,1
17,58,4
17,85,4
17,86,2.5
17,96,1.5
18,6,1.5
18,26,3
18,28,3
18,40,1.5
18,52,5
18,61,2.5
18,82,4.5
18,83,2.5
18,94,1
19,7,2.5
19,32,3.5
19,38,3
19,78,1.5
19,81,4.5
19,84,3.5
19,85,2
19,97,3.5
19,98,1
20,26,1
20,36,1.5
20,73,2.5
20,79,1.5
20,90,1.5
20,97,1.5
